model,config,k,workload,agents,rungs_present,rungs_missing,n_present,claim_status
GPT-13B,C-hi,8,wl_C64.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-13B,C-lo,8,wl_C16.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-13B,D-hi,8,wl_D4.json,64,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-13B,D-lo,8,wl_D1.json,16,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-13B,N-hi,8,wl_N64.json,128,A2,A1 A3 A3a A3b A4 A4b A5 A6,1,excluded
GPT-13B,N-lo,8,wl_N4.json,8,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-13B,broadcast,8,wl_broadcast.json,17,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-13B,k-hi,32,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-13B,k-lo,2,wl_baseline_alltoall_N16_C32_D2.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-13B,pipeline,8,wl_pipeline_D4.json,4,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-13B,private,8,wl_private.json,32,A1 A2 A3 A3a A3b A4 A4b A5,A6,8,damaged
GPT-13B,reduce,8,wl_reduce.json,17,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-13B,supervisor,8,wl_supervisor_D4.json,34,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-175B,C-hi,8,wl_C64.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-175B,C-lo,8,wl_C16.json,32,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-175B,D-hi,8,wl_D4.json,64,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-175B,D-lo,8,wl_D1.json,16,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
GPT-175B,N-hi,8,wl_N64.json,128,A2,A1 A3 A3a A3b A4 A4b A5 A6,1,excluded
GPT-175B,N-lo,8,wl_N4.json,8,A1 A2 A3 A3a A3b A4 A4b A5 A6,,9,done
